ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
37492|WIFI|TN|197.26.8.35|196.235.4.200|Orange Tunisie|b4fefd5b-474d-477c-806b-a7074998cb31|/Date(1561163811250+0000)/|1.1.1.1|79|74|75|76
2609|WIFI|TN|172.253.12.4|41.230.142.172|TOPNET|d43c53c5-65db-4404-82d4-00e14397552b|/Date(1561163812046+0000)/|1.1.1.1|54|58|63|58
37492|WIFI|TN|197.26.8.35|196.235.33.67|Orange Tunisie|b33b0501-d266-48a4-a419-312ac922e4a1|/Date(1561163813752+0000)/|1.1.1.1|94|51|52|65
37705|WIFI|TN|41.226.21.50|102.156.5.142|TOPNET|1d522435-5c87-4b31-aef0-e25c3e6b13ad|/Date(1561163814113+0000)/|1.1.1.1|50|53|56|53
37671|WIFI|TN|193.95.57.26|197.26.86.151|Globalnet|f65c19e5-e5c7-483a-a540-9929ad94a55a|/Date(1561163814959+0000)/|1.1.1.1|222|173|167|187
37705|WIFI|TN|41.226.16.50|197.2.16.230|TOPNET|762c08d6-31f5-46fe-905b-7d1f3b728ab2|/Date(1561163815723+0000)/|1.1.1.1|79|72|91|80
37705|WIFI|TN|197.2.148.0|197.2.148.199|TOPNET|52d4418e-2a81-4961-8d6b-ea0e14d1c467|/Date(1561163816398+0000)/|1.1.1.1|50|49|50|49
37705|WIFI|TN|41.226.21.50|102.157.39.157|TOPNET|7d334593-49d5-448a-ba3e-f17cb3055fe5|/Date(1561163817236+0000)/|1.1.1.1|42|87|85|71
37671|WIFI|TN|193.95.57.26|197.26.81.29|Globalnet|1887aff9-bfae-482e-b473-b7a2214db836|/Date(1561163825206+0000)/|1.1.1.1|83|86|88|85
37671|WIFI|TN|193.95.57.23|197.15.51.5|Globalnet|d4b9c452-6be9-442a-b751-5969657f9225|/Date(1561163809816+0000)/|8.8.8.8|62|61|60|61
37705|WIFI|TN|102.159.147.0|102.159.147.104|TOPNET|a8fc14b3-3bf3-494a-8419-23df902203b3|/Date(1561163810569+0000)/|8.8.8.8|958|49|53|353
37705|WIFI|TN|102.159.114.0|102.159.114.215|TOPNET|307cec67-308d-4e16-8454-1e6907e0fe39|/Date(1561163811362+0000)/|8.8.8.8|62|68|84|71
37671|WIFI|TN||196.235.53.143|Globalnet|a904d9b9-7cad-4bd2-a542-a6beb16b0d94|/Date(1561163814318+0000)/|8.8.8.8|49|49|65|54
37492|WIFI|TN|197.26.8.36|196.229.165.88|Orange Tunisie|1ef7ad2c-e159-432b-aa96-02fa59b3f98c|/Date(1561163814405+0000)/|8.8.8.8|101|720|64|295
2609|WIFI|TN|41.227.192.140|41.227.149.185|Hexabyte|652cbd8e-eba0-4c1b-9be1-65c2d035d399|/Date(1561163814406+0000)/|8.8.8.8|44|61|57|54
2609|WIFI|TN|172.253.12.5|197.14.124.174|TOPNET|e658ecbe-2d8c-4c5d-979f-d6da5369917e|/Date(1561163814419+0000)/|8.8.8.8|33|37|30|33
37705|WIFI|TN|41.226.22.50|102.159.80.162|TOPNET|19196efb-44df-4bf8-b087-3a5ed76797c3|/Date(1561163814878+0000)/|8.8.8.8|52|66|61|59
37705|WIFI|TN|102.159.137.0|102.159.137.159|TOPNET|fae5b479-4fc1-4d96-924a-b6eaa8e82c61|/Date(1561163815402+0000)/|8.8.8.8|62|64|62|62
