testid,cc,server,ping_type
24efd14a-0e3a-43fe-8bd2-f77533e70c53,BF,1.1.1.1,icmp
49f486ea-aecf-4a48-b2b6-b56e9f4a3c13,BF,8.8.8.8,icmp
d43d380d-e73e-482e-b9cc-f48312412d88,BF,9.9.9.9,icmp
c3a22708-e948-44bc-8865-34144900cf6e,SH,1.1.1.1,icmp
e0889b5a-8205-492f-8485-c3c49b5e3696,SH,8.8.8.8,icmp
66c9eafd-76fb-4ee5-b9ce-b5daeb3ca49d,SH,9.9.9.9,icmp
49e59bf4-3ac6-477f-b068-d75d9b14dca6,CD,1.1.1.1,icmp
5f6dceca-a276-4a54-9b88-538e6a93541d,CD,8.8.8.8,icmp
091b117d-673e-405c-8952-5cbe0db59351,CD,9.9.9.9,icmp
2ba2f956-258d-4c42-a827-c961f6e8e966,TZ,1.1.1.1,icmp
df98adee-9af5-4392-b32c-d061b511a587,TZ,8.8.8.8,icmp
cd50aec5-ef04-4947-ba43-0ddf7aebe92c,TZ,9.9.9.9,icmp
e5bc8e9a-7199-4e53-890f-703fd9e79173,YT,1.1.1.1,icmp
1459ceac-46d4-4db4-9704-b602f1c1e154,YT,8.8.8.8,icmp
c83ea68b-9e7e-4ed8-b965-a6c169976725,YT,9.9.9.9,icmp
3a41f76e-58d8-4b77-933a-2ca74b77bd10,ZM,1.1.1.1,icmp
502cccc1-1936-4eef-9a31-0a075ffd19bd,ZM,8.8.8.8,icmp
56bae42c-6227-41db-94c7-3d02d9152e96,ZM,9.9.9.9,icmp
382c7b7d-5619-4b1a-a3e8-af63327394a4,ZW,1.1.1.1,icmp
ad67cba1-30e8-4783-9270-6633f14c089b,ZW,8.8.8.8,icmp
ad7ee987-d34d-4cec-8425-86020dc8a2bc,ZW,9.9.9.9,icmp
