ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
8452|WIFI|EG|156.200.40.42|156.200.187.89|TE Data|5d6ecf66-3f9c-4f10-bde4-6c728f71e9d3|/Date(1561037388083+0000)/|8.8.8.8|71|78|77|75
8452|WIFI|EG|163.121.128.206|41.44.56.143|TE Data|97843132-90d3-4039-8beb-a896efd092a8|/Date(1561037389299+0000)/|8.8.8.8|61|176|97|111
24863|WIFI|EG|41.128.84.2|197.163.21.X|Link Egypt|NONE|/Date(1561037390184+0000)/|8.8.8.8|18|14|32|21
8452|WIFI|EG|156.200.40.66|197.32.231.172|TE Data|f87ea5a0-0848-484f-a64c-ca212f775c4d|/Date(1561037394288+0000)/|8.8.8.8|364|282|299|315
24863|WIFI|EG|41.128.84.2|197.163.21.181|Link Egypt|e13483e6-237e-460c-9d35-3d5b11c46482|/Date(1561037395783+0000)/|8.8.8.8|11|16|23|16
24863|Wireless80211|EG|45.240.0.2|45.242.12.133|Link Egypt|28874516-e5e5-46c1-82e2-cbd5d19fb9d5|/Date(1561037396195+0000)/|8.8.8.8|8|18|9|11
8452|WIFI|EG|163.121.128.214|197.36.181.120|TE Data|c3a164c6-0da9-4e3a-981c-92a7be0b414b|/Date(1561037403582+0000)/|8.8.8.8|64|67|66|65
8452|WIFI|EG|156.200.40.42|197.59.22.132|TE Data|2bbd2438-a154-41d0-8dc4-6035bcbb24ad|/Date(1561037405899+0000)/|8.8.8.8|139|83|57|93
24863|Unknown|EG||41.128.147.99|Link Egypt|4cdbdd32-4719-4bbf-8853-1bcd44977c16|/Date(1561037386738+0000)/|9.9.9.9|68|68|68|68
24863|Wireless80211|EG|45.240.0.2|45.242.12.133|Link Egypt|28874516-e5e5-46c1-82e2-cbd5d19fb9d5|/Date(1561037390747+0000)/|9.9.9.9|60|60|61|60
8452|fiber|EG||156.222.62.72|TE Data|11fac6b1-c1c6-4223-bcdb-0af3561c5e72|/Date(1561037391842+0000)/|9.9.9.9|76|76|76|76
8452|WIFI|EG|163.121.128.214|156.208.42.178|TE Data|f5e795a7-e1ba-49ab-8d63-672cdf54d98c|/Date(1561037393084+0000)/|9.9.9.9|154|136|123|137
8452|WIFI|EG|162.158.129.59|41.45.100.253|TE Data|6c5ce33a-f874-409c-a7d7-7714ee978fbd|/Date(1561037394782+0000)/|9.9.9.9|105|102|108|105
24835|WIFI|EG|62.240.113.124|102.184.65.77|Vodafone Egypt|c8d57421-84d4-4f88-913d-ce9609172064|/Date(1561037397952+0000)/|9.9.9.9|28|99|30|52
8452|WIFI|EG|156.200.40.42|41.43.200.57|TE Data|2ac201e6-aba3-41fa-9332-95f1dad64535|/Date(1561037398086+0000)/|9.9.9.9|382|114|165|220
8452|WIFI|EG|163.121.128.206|41.34.72.54|TE Data|db81b149-92b4-4c2c-b193-60c7a24dd5dc|/Date(1561037398698+0000)/|9.9.9.9|331|70|74|158
8452|WIFI|EG||41.233.252.227|TE Data|9fd10d3e-fe31-4b26-a9e4-eec4509d7a22|/Date(1561037407356+0000)/|9.9.9.9|101|105|106|104
29571|Wireless80211|CI|154.68.9.24|154.68.5.126|Orange Cote d'Ivoire|24729786-a88d-4bbd-bb67-2dcd2db64be9|/Date(1561037392211+0000)/|1.1.1.1|114|99|109|107
29571|Wireless80211|CI|154.68.5.0|154.68.5.148|Orange Cote d'Ivoire|60e149b0-7b44-4d49-a080-5f11dd8ea101|/Date(1561037393097+0000)/|1.1.1.1|367|415|642|474
29571|Wireless80211|CI|154.68.9.24|154.68.5.126|Orange Cote d'Ivoire|24729786-a88d-4bbd-bb67-2dcd2db64be9|/Date(1561037395970+0000)/|8.8.8.8|140|145|143|142
29571|Wireless80211|CI|154.68.5.0|154.68.5.148|Orange Cote d'Ivoire|60e149b0-7b44-4d49-a080-5f11dd8ea101|/Date(1561037398182+0000)/|8.8.8.8|383|146|378|302
29571|Wireless80211|CI|154.68.9.24|154.68.5.126|Orange Cote d'Ivoire|24729786-a88d-4bbd-bb67-2dcd2db64be9|/Date(1561037399978+0000)/|9.9.9.9|44|28|21|31
29571|Wireless80211|CI|154.68.5.0|154.68.5.148|Orange Cote d'Ivoire|60e149b0-7b44-4d49-a080-5f11dd8ea101|/Date(1561037403198+0000)/|9.9.9.9|40|86|985|370
29614|Wireless80211|GH|74.125.73.77|197.251.185.123|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561037396096+0000)/|1.1.1.1|102|99|101|100
29614|Wireless80211|GH|74.125.73.77|197.251.185.123|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561037399443+0000)/|8.8.8.8|101|103|102|102
29614|Wireless80211|GH|74.125.73.77|197.251.185.123|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561037402869+0000)/|9.9.9.9|15|12|12|13
37529|Wireless80211,Ethernet|GQ|74.125.181.13|197.214.64.187|Gestora de Infraestructuras de Telecomunicaciones|3d71b34b-4303-4782-acbe-411b91b07a47|/Date(1561037410821+0000)/|1.1.1.1|139|139|139|139
37529|Wireless80211,Ethernet|GQ|74.125.181.13|197.214.64.187|Gestora de Infraestructuras de Telecomunicaciones|3d71b34b-4303-4782-acbe-411b91b07a47|/Date(1561037414594+0000)/|8.8.8.8|149|147|144|146
