ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status
37148,Wireless80211,NG,129.205.112.254,129.205.112.195,globacom,4c2299df-82e6-499b-8b11-23743fe06cc2,/Date(1561112841821+0000)/,8.8.8.8,30,NoError
36923,Ethernet,NG,8.0.26.129,41.58.244.43,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561112843944+0000)/,8.8.8.8,4000,NoError
37148,Wireless80211,NG,129.205.112.254,41.203.78.210,globacom,2a0a1aa1-191f-4496-acea-ce8fd6967b47,/Date(1561112840370+0000)/,9.9.9.9,65,Refused
37148,Wireless80211,NG,129.205.112.254,129.205.112.195,globacom,4c2299df-82e6-499b-8b11-23743fe06cc2,/Date(1561112843306+0000)/,9.9.9.9,145,Refused
36923,Ethernet,NG,8.0.26.129,41.58.244.43,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561112848765+0000)/,9.9.9.9,4001,NoError
37164,Ethernet,SL,197.215.105.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561112841194+0000)/,1.1.1.1,139,NoError
37164,Ethernet,SL,197.215.105.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561112842003+0000)/,8.8.8.8,128,NoError
37164,Ethernet,SL,197.215.105.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561112842989+0000)/,9.9.9.9,124,NoError
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561112838743+0000)/,1.1.1.1,166,NoError
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561112839593+0000)/,8.8.8.8,112,NoError
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561112840747+0000)/,9.9.9.9,106,Refused
327864,Wireless80211,TD,169.255.153.0,169.255.153.163,Albideynet,d7b41a79-cdf6-499f-ad69-1220255497a0,/Date(1561112843127+0000)/,1.1.1.1,777,NoError
327864,Wireless80211,TD,169.255.153.0,169.255.153.163,Albideynet,d7b41a79-cdf6-499f-ad69-1220255497a0,/Date(1561112847018+0000)/,8.8.8.8,9,NoError
327864,Wireless80211,TD,169.255.153.0,169.255.153.163,Albideynet,d7b41a79-cdf6-499f-ad69-1220255497a0,/Date(1561112848377+0000)/,9.9.9.9,12,NoError
24691,Wireless80211,TG,41.207.160.45,196.171.192.225,Togo Telecom,47d85bd7-e1e4-473b-92bf-acf2ef41d066,/Date(1561112842938+0000)/,1.1.1.1,148,NoError
24691,Wireless80211,TG,41.207.160.45,196.171.192.225,Togo Telecom,47d85bd7-e1e4-473b-92bf-acf2ef41d066,/Date(1561112844177+0000)/,8.8.8.8,188,NoError
24691,"Ethernet,Ethernet,Ethernet",TG,41.207.160.45,196.171.192.225,Togo Telecom,bf182cb2-f94d-41fb-8ee1-3d480c69966a,/Date(1561112847927+0000)/,8.8.8.8,110,NoError
24691,Wireless80211,TG,41.207.160.45,196.171.192.225,Togo Telecom,47d85bd7-e1e4-473b-92bf-acf2ef41d066,/Date(1561112845501+0000)/,9.9.9.9,47,Refused
24691,"Ethernet,Ethernet,Ethernet",TG,41.207.160.45,196.171.192.225,Togo Telecom,bf182cb2-f94d-41fb-8ee1-3d480c69966a,/Date(1561112849688+0000)/,9.9.9.9,27,Refused
2609,Ethernet,TN,172.253.14.4,197.10.128.5,Tunisie Telecom,0cd8db1a-1f3e-4d1d-aeb0-f29d165dcb5d,/Date(1561112844722+0000)/,1.1.1.1,148,NoError
37705,Wireless80211,TN,197.0.198.0,197.0.198.56,TOPNET,cb7509fb-80e8-45a2-9f81-d458301542db,/Date(1561112844853+0000)/,1.1.1.1,255,NoError
2609,Ethernet,TN,172.253.14.4,197.10.128.5,Tunisie Telecom,0cd8db1a-1f3e-4d1d-aeb0-f29d165dcb5d,/Date(1561112845367+0000)/,8.8.8.8,17,NoError
